"","country","continent","bmi","population","lifeexp_female","life_expectancy","che_gdp_pct","gdp","status","pop_mil","gdp_mil","gdp_per_cap"
"144","Russian Federation","Europe/Asia",26.6,144096870,76.9,71.5,5.3,1363594369577.82,"Developing",144.09687,1363594.36957782,9463.03947877438
"145","Rwanda","Africa",22.2,11369071,68.4,67.6,6.5,8277614580.59,"Developing",11.369071,8277.61458059,728.081879389266
"146","Saint Kitts and Nevis","North America",29.3,51203,NA,NA,4.9,923155555.56,"Developing",0.051203,923.15555556,18029.325538738
"147","Saint Lucia","North America",29.8,179126,78.2,75.4,4.8,1659110888.89,"Developing",0.179126,1659.11088889,9262.25611519266
"148","Saint Vincent and the Grenadines","North America",27.1,109148,75.1,72.3,4.3,755400000,"Developing",0.109148,755.4,6920.87807380804
"149","Samoa","Oceania",31.8,193513,78.2,74.8,5.7,788307314.85,"Developing",0.193513,788.30731485,4073.66592864562
"150","San Marino","Europe",NA,33272,NA,NA,7.4,1523012088.28,"Developing",0.033272,1523.01208828,45774.5878901178
"151","Sao Tome and Principe","Africa",24.4,199432,70.5,68.5,5.4,318265835.26,"Developing",0.199432,318.26583526,1595.86142274058
"152","Saudi Arabia","Asia",28.4,31717667,76.3,74.6,6,654269902880,"Developing",31.717667,654269.90288,20627.9327820675
"153","Senegal","Africa",22.5,14578459,68.3,66.4,4.4,17767704596.93,"Developing",14.578459,17767.70459693,1218.76424640835
"154","Serbia","Europe",26.5,7095383,78.5,75.9,8.8,39628550868.75,"Developing",7.095383,39628.55086875,5585.11793778433
"155","Seychelles","Africa",26.9,93419,77.8,73.1,4.6,1377495054.04,"Developing",0.093419,1377.49505404,14745.3414620152
"156","Sierra Leone","Africa",22.7,7171914,52,51.4,20.4,4218723875.14,"Developing",7.171914,4218.72387514,588.228452703142
"157","Singapore","Asia",23.8,5535002,84.8,82.7,4.2,308004146057.61,"Developing",5.535002,308004.14605761,55646.6187469508
"158","Slovakia","Europe",26.9,5423801,80.6,77.1,6.8,88457167724.28,"Developed",5.423801,88457.16772428,16309.0732355925
"159","Slovenia","Europe",26.9,2063531,83.5,80.6,8.5,43090173061.97,"Developed",2.063531,43090.17306197,20881.7667686941
"160","Solomon Islands","Oceania",26.1,603118,72.4,70.9,5.2,1154650068.86,"Developing",0.603118,1154.65006886,1914.46792975836
"161","Somalia","Africa",22.8,13797201,57.1,55.6,NA,4048860871.41,"Developing",13.797201,4048.86087141,293.455235696718
"162","South Africa","Africa",27,55386367,66.7,63.3,8.2,317620522794.83,"Developing",55.386367,317620.52279483,5734.63362915336
"163","South Sudan","Africa",NA,10715658,59.1,58.2,NA,11997800751.06,"Developing",10.715658,11997.80075106,1119.65133182302
"164","Spain","Europe",26.6,46444832,85.4,82.7,9.1,1195119269971.52,"Developed",46.444832,1195119.26997152,25732.0183647455
